6,18.5,70.2,22,7.7,7.66,0.23,0.0983,-22.7,0.84,1.21,3.31,8.44,4.17,0.04,0.71,0.19,0.75,90,0.33,0.07,0.19,0.21
9,50.9,83.9,11.5,4.5,5.31,0.28,0.1095,-20.9,0.04,1.32,1.95,7.54,3.09,0.01,0.36,0.24,1.04,183,0.34,0.033,0.21,0.36
11,53.3,79.8,14.1,6.1,1.67,0.13,0.1519,-21.7,0.24,0,1.16,6.78,2.07,0,0.1,0.51,0.91,422,0.46,0.026,0.63,0.81
12,56,70.4,20.1,9.5,4.24,0.23,0.1226,-21.1,0.27,0,2.46,0,3.12,0,0.14,0.21,0.83,120,0.23,0.025,0.35,0.64
13,60.5,40.2,34.6,25.2,3.46,0.22,0.1063,-21.1,0.34,1.48,2.29,4.67,3.46,0.01,0.16,0.24,1.06,182,0.25,0.025,0.36,0.58
15,48,81.3,13.1,5.5,6.71,0.36,0.1045,-21.2,0.37,1.04,2.16,4.67,3.46,0.02,0.53,0.16,0.98,110,0.3,0.036,0.15,0.25
20,9.8,4.6,76.9,18.5,10.5,0.43,0.1,-22.9,1.32,1.11,4.36,22.2,5.96,0.1,1.14,0.16,0.75,78,0.33,0.042,0.07,0.14
21,10.6,0.7,69.2,30.1,28.2,0.69,0.0901,-23.7,1.74,0.78,4.7,40.2,5.81,0.27,1.46,0.19,0.85,106,0.47,0.047,0.07,0.12
22,14,79.9,13.2,6.9,2.72,0.06,0,-24.4,0.19,1.11,1.32,0.51,1.97,0.7,0.2,0.29,1.03,226,0.54,0.022,0.26,0.44
23,20,100,0,0,2.54,0.06,0,-23.5,0.1,0.86,0.91,2.05,2.17,0.71,0.21,0.26,0.99,189,0.56,0.027,0.29,0.35
25,15.1,84.9,10.5,4.3,1.51,0.07,0,-23.1,0.08,0,1.17,0,2.18,0.74,0.42,0.06,0.22,7,0.23,0.029,0.09,0.21
26,41,0.2,69.1,30.8,21.1,0.62,0.1132,-22.2,1.8,1.84,4.45,4.56,5.39,0.04,0.59,0.16,0.77,78,0.37,0.04,0.13,0.23
27,40,3,81.4,15.6,17.4,0.64,0.1003,-21.7,1.45,1.76,4.7,14.7,5.98,0.02,0.74,0.15,0.76,74,0.35,0.048,0.12,0.21
28,10,2.2,82.5,15.3,15.2,0.62,0.104,-22.2,1.59,1.26,3.93,18.2,5.49,0.04,0.62,0.17,0.81,87,0.38,0.035,0.11,0.22
29,33.8,1.2,83.3,15.5,19.2,0.61,0.1028,-22.2,1.43,1.4,3.85,16.7,5.58,0.05,0.62,0.17,0.86,95,0.38,0.04,0.13,0.21
31,45,1.5,70.9,27.6,16.8,0.54,0.0979,-21.2,1.02,1.23,5.07,21.5,7.02,0.03,0.77,0.15,0.78,76,0.37,0.043,0.11,0.18
34,69.5,73.6,17.2,8.9,5.94,0.29,0.1036,-22.0,0.35,1.36,2.45,15,3.8,0.01,0.12,0.26,0.95,176,0.25,0.027,0.49,0.65
36,69,19,51,30,16.4,0.57,0.1038,-22.5,0.87,2,3.51,8,5.53,0.02,0.22,0.18,0.79,94,0.35,0.029,0.26,0.39
38,50,0.9,66.9,32.2,20.6,0.74,0.1031,-22.0,1.52,1.26,3.46,13.3,6.93,0.03,0.29,0.13,0.81,71,0.28,0.024,0.16,0.32
42,66,68.1,21.7,10,6.45,0.25,0.1015,-20.8,0.4,1.68,2.96,6,5.18,0.01,0.18,0.2,0.92,124,0.32,0.016,0.2,0.38
44,29,28.6,55.9,15.5,8.81,0.38,0.0986,-21.3,0.83,1.58,4.34,13.2,7.53,0.02,0.69,0.13,0.79,66,0.31,0.034,0.09,0.18
46,42,60.7,28.4,10.6,6.44,0.3,0.116,-21.2,0.36,1.94,4.33,9.11,7.23,0.02,0.68,0.17,0.77,83,0.35,0.039,0.11,0.2
